PRIMARY_SAMPLE_UNIT,YEAR,latitude,longitude,REGION,total_cover,annual_dhw,distance_to_thermal_km
1000.0,2016,18.311364,-65.340659,PRICO,94.0,1.8014274,2.243050113766471
1001.0,2016,18.314301,-65.334751,PRICO,94.0,1.8014274,1.5732193340095775
1002.0,2016,18.29841,-65.32479,PRICO,100.0,1.4814297,2.603002152320239
1003.0,2016,18.302022,-65.321482,PRICO,97.0,1.8014274,2.5824583212678895
1004.0,2016,18.314352,-65.327262,PRICO,98.0,1.8014274,1.2082438135319202
1005.0,2016,18.32018,-65.332698,PRICO,100.0,1.8014274,0.9732947325008583
1007.0,2016,18.315688,-65.333288,PRICO,64.0,1.8014274,1.3556404728403875
1008.0,2016,18.312015,-65.335091,PRICO,98.0,1.8014274,1.7943952426225256
1009.0,2016,18.326903,-65.330947,PRICO,100.0,1.8014274,0.6618233447462114
1010.0,2016,18.31059,-65.33875,PRICO,100.0,1.8014274,2.162031377003811
1011.0,2016,18.31629,-65.33055,PRICO,100.0,1.8014274,1.132099309569816
1012.0,2016,18.305283,-65.327977,PRICO,81.0,1.8014274,2.2152737739394515
1012.0,2016,25.31024,-80.21864,FLK,85.0,1.4371436,1.7620403759104863
1013.0,2016,18.311843,-65.316809,PRICO,33.0,1.8014274,1.7000813665581296
1014.0,2016,18.30248,-65.326145,PRICO,51.0,1.8014274,2.5075103164865946
1015.0,2016,18.30888,-65.327348,PRICO,37.0,1.8014274,1.809955713373432
1017.0,2016,18.321507,-65.32755,PRICO,88.0,1.8014274,0.4727009389992381
1018.0,2016,18.3901,-65.56336,PRICO,99.0,0.8457136,2.080625800460982
1019.0,2016,18.3915,-65.57132,PRICO,99.0,0.8457136,1.87545940675045
1020.0,2016,18.35498,-65.56694,PRICO,100.0,0.8457136,2.3832620055946117
1021.0,2016,18.38077,-65.55602,PRICO,100.0,0.8457136,2.103556325934499
1024.0,2016,18.35796,-65.51013,PRICO,99.0,0.8842852,2.4603142674667446
1026.0,2016,18.36506,-65.5006,PRICO,100.0,0.8842852,2.8022418701995204
1027.0,2016,18.36408,-65.49566,PRICO,100.0,1.0642855,2.494990271004157
1028.0,2016,18.3698,-65.52486,PRICO,100.0,0.8842852,0.57840646380172
1029.0,2016,18.33913,-65.55685,PRICO,91.0,0.9928578,2.4777054634157554
1030.0,2016,18.39148,-65.57402,PRICO,93.0,0.8457136,1.835435135513642
1031.0,2016,18.33812,-65.5616,PRICO,95.0,0.9928578,2.0319265740333674
1033.0,2016,25.61221,-80.10626,FLK,56.0,0.30857164,2.3570945270794055
1035.0,2016,18.3765,-65.57025,PRICO,62.0,0.8457136,0.5287245969827487
1037.0,2016,18.34444,-65.56046,PRICO,91.0,0.9928578,2.6508912894226797
1039.0,2016,25.38479,-80.15346,FLK,85.0,0.47714308,2.4226339959837957
1040.0,2016,18.37651,-65.56044,PRICO,100.0,0.8457136,1.5460719527229831
1042.0,2016,18.38037,-65.61176,PRICO,100.0,0.8071434,1.5201274423818982
1043.0,2016,18.272219,-65.193576,PRICO,100.0,1.434285,1.9853262871742683
1045.0,2016,18.312353,-65.219586,PRICO,98.0,1.4814279,1.5186876684674706
1048.0,2016,18.22877,-65.41286,PRICO,82.0,1.1942858,1.3490605816219248
1049.0,2016,18.235233,-65.371033,PRICO,79.0,1.3214291,1.2121830474085296
1049.0,2016,25.41623,-80.14463,FLK,97.0,0.30714306,2.1988925956014853
1050.0,2016,18.25028,-65.227336,PRICO,82.0,1.3185709,2.75989565165444
1053.0,2016,18.284822,-65.242424,PRICO,62.0,1.3185709,2.138811488315439
1054.0,2016,18.286095,-65.296985,PRICO,45.0,1.4814279,2.628506880001862
1056.0,2016,25.32453,-80.16182,FLK,55.0,0.31571445,1.3260636820915606
1057.0,2016,18.25686,-65.52937,PRICO,99.0,1.0485706,2.069312831801946
1059.0,2016,18.2782,-65.4778,PRICO,100.0,1.0614282,0.4620735186620354
1063.0,2016,18.28798,-65.52086,PRICO,95.0,1.0485706,1.5079330443975976
1065.0,2016,25.43187,-80.13137,FLK,88.0,0.30714306,0.9956230039072069
1067.0,2016,18.35649,-65.34166,PRICO,100.0,1.9742844,2.7065941354768057
1071.0,2016,18.09886,-65.70934,PRICO,71.0,0.81000006,3.1270347587390814
1075.0,2016,18.111264,-65.644024,PRICO,5.0,1.2985715,2.524219602377119
1076.0,2016,18.122443,-65.635321,PRICO,53.0,1.2985715,1.1263746750788384
1077.0,2016,18.1272,-65.688,PRICO,53.0,1.1428572,1.3950908869365972
1078.0,2016,18.13183,-65.66637,PRICO,80.0,1.1428572,1.1870445339171325
1079.0,2016,18.13252,-65.67904,PRICO,89.0,1.1428572,0.9387218830662805
1081.0,2016,18.264866,-65.247047,PRICO,10.0,1.3185709,2.5858167799433622
1084.0,2016,18.10017,-65.70096,PRICO,0.0,1.1314286,3.752494713097208
1085.0,2016,25.40086,-80.12876,FLK,93.0,0.30714306,2.710909059395924
1087.0,2016,18.08695,-65.44341,PRICO,65.0,0.842857,2.355844537603561
1088.0,2016,18.09861,-65.37817,PRICO,96.0,0.83428574,2.64600157949465
