PRIMARY_SAMPLE_UNIT,latitude,longitude,YEAR,REGION,COVER_CAT_NAME,HARDBOTTOM_P,group,MONTH,DAY,annual_dhw,distance_to_thermal_km
1702.0,24.46499,-81.9823,2016,FLK,Eusmilia fastigiata,1.0,Other,,,1.4285725,1.3361692508673397
1702.0,24.46499,-81.9823,2016,FLK,Encrusting gorgonian,2.0,Other,,,1.4285725,1.3361692508673397
1702.0,24.46499,-81.9823,2016,FLK,Gorgonians,13.0,Other,,,1.4285725,1.3361692508673397
1702.0,24.46499,-81.9823,2016,FLK,Meandrina meandrites,1.0,Other,,,1.4285725,1.3361692508673397
1702.0,24.46499,-81.9823,2016,FLK,Orbicella faveolata,4.0,Other,,,1.4285725,1.3361692508673397
1702.0,24.46499,-81.9823,2016,FLK,Siderastrea siderea,4.0,Other,,,1.4285725,1.3361692508673397
1702.0,24.46499,-81.9823,2016,FLK,Porifera spp,2.0,Other,,,1.4285725,1.3361692508673397
1702.0,24.46499,-81.9823,2016,FLK,Stephanocoenia intersepta,1.0,Other,,,1.4285725,1.3361692508673397
1702.0,24.46499,-81.9823,2016,FLK,Turf Algae with Sediment,28.0,Other,,,1.4285725,1.3361692508673397
1424.0,24.44695,-81.97202,2016,FLK,Bare Substrate,0.0,Other,,,1.2757136,2.459041133777729
1424.0,24.44695,-81.97202,2016,FLK,Dictyota spp,37.0,Other,,,1.2757136,2.459041133777729
1424.0,24.44695,-81.97202,2016,FLK,Eusmilia fastigiata,1.0,Other,,,1.2757136,2.459041133777729
1424.0,24.44695,-81.97202,2016,FLK,Gorgonians,9.0,Other,,,1.2757136,2.459041133777729
1424.0,24.44695,-81.97202,2016,FLK,MacroOtherFleshy,1.0,Other,,,1.2757136,2.459041133777729
1424.0,24.44695,-81.97202,2016,FLK,Millepora spp,1.0,Other,,,1.2757136,2.459041133777729
1424.0,24.44695,-81.97202,2016,FLK,Rhodophyta cru. spp,4.0,Other,,,1.2757136,2.459041133777729
1702.0,24.46499,-81.9823,2016,FLK,Bare Substrate,0.0,Other,,,1.4285725,1.3361692508673397
1702.0,24.46499,-81.9823,2016,FLK,Dictyota spp,24.0,Other,,,1.4285725,1.3361692508673397
1702.0,24.46499,-81.9823,2016,FLK,Dichocoenia stokesii,1.0,Other,,,1.4285725,1.3361692508673397
1427.0,24.47273,-81.82445,2016,FLK,Gorgonians,9.0,Other,,,2.297144,0.2592396806741398
1427.0,24.47273,-81.82445,2016,FLK,Halimeda spp,1.0,Other,,,2.297144,0.2592396806741398
1427.0,24.47273,-81.82445,2016,FLK,Palythoa spp,1.0,Other,,,2.297144,0.2592396806741398
1427.0,24.47273,-81.82445,2016,FLK,Porifera spp,4.0,Other,,,2.297144,0.2592396806741398
1427.0,24.47273,-81.82445,2016,FLK,Turf Algae with Sediment,18.0,Other,,,2.297144,0.2592396806741398
1741.0,24.46302,-81.7548,2016,FLK,Bare Substrate,0.0,Other,,,2.4728584,2.440604216851581
1741.0,24.46302,-81.7548,2016,FLK,Dictyota spp,4.0,Other,,,2.4728584,2.440604216851581
1741.0,24.46302,-81.7548,2016,FLK,Gorgonians,5.0,Other,,,2.4728584,2.440604216851581
1741.0,24.46302,-81.7548,2016,FLK,Halimeda spp,11.0,Other,,,2.4728584,2.440604216851581
1741.0,24.46302,-81.7548,2016,FLK,Montastraea cavernosa,1.0,Other,,,2.4728584,2.440604216851581
1741.0,24.46302,-81.7548,2016,FLK,Rhodophyta cru. spp,9.0,Other,,,2.4728584,2.440604216851581
1741.0,24.46302,-81.7548,2016,FLK,Porifera spp,15.0,Other,,,2.4728584,2.440604216851581
1741.0,24.46302,-81.7548,2016,FLK,Stephanocoenia intersepta,1.0,Other,,,2.4728584,2.440604216851581
1741.0,24.46302,-81.7548,2016,FLK,Turf Algae Free of Sediment,1.0,Other,,,2.4728584,2.440604216851581
1741.0,24.46302,-81.7548,2016,FLK,Turf Algae with Sediment,22.0,Other,,,2.4728584,2.440604216851581
1459.0,24.47505,-81.72699,2016,FLK,Bare Substrate,0.0,Other,,,2.5885727,0.20083592540622314
1459.0,24.47505,-81.72699,2016,FLK,Dictyota spp,27.0,Other,,,2.5885727,0.20083592540622314
1459.0,24.47505,-81.72699,2016,FLK,Encrusting gorgonian,5.0,Other,,,2.5885727,0.20083592540622314
1459.0,24.47505,-81.72699,2016,FLK,Gorgonians,5.0,Other,,,2.5885727,0.20083592540622314
1459.0,24.47505,-81.72699,2016,FLK,Montastraea cavernosa,1.0,Other,,,2.5885727,0.20083592540622314
1459.0,24.47505,-81.72699,2016,FLK,Rhodophyta cru. spp,11.0,Other,,,2.5885727,0.20083592540622314
1459.0,24.47505,-81.72699,2016,FLK,Siderastrea siderea,1.0,Other,,,2.5885727,0.20083592540622314
1459.0,24.47505,-81.72699,2016,FLK,Porifera spp,11.0,Other,,,2.5885727,0.20083592540622314
1459.0,24.47505,-81.72699,2016,FLK,Stephanocoenia intersepta,1.0,Other,,,2.5885727,0.20083592540622314
1459.0,24.47505,-81.72699,2016,FLK,Turf Algae with Sediment,9.0,Other,,,2.5885727,0.20083592540622314
1377.0,24.50635,-81.70926,2016,FLK,Bare Substrate,0.0,Other,,,3.692857,2.615161088907992
1377.0,24.50635,-81.70926,2016,FLK,Colpophyllia natans,1.0,Other,,,3.692857,2.615161088907992
1377.0,24.50635,-81.70926,2016,FLK,Cyanophyta spp,0.0,Other,,,3.692857,2.615161088907992
1377.0,24.50635,-81.70926,2016,FLK,Dictyota spp,3.0,Other,,,3.692857,2.615161088907992
1377.0,24.50635,-81.70926,2016,FLK,Encrusting gorgonian,7.0,Other,,,3.692857,2.615161088907992
1377.0,24.50635,-81.70926,2016,FLK,Gorgonians,6.0,Other,,,3.692857,2.615161088907992
1377.0,24.50635,-81.70926,2016,FLK,Palythoa spp,2.0,Other,,,3.692857,2.615161088907992
1377.0,24.50635,-81.70926,2016,FLK,Rhodophyta cru. spp,8.0,Other,,,3.692857,2.615161088907992
1377.0,24.50635,-81.70926,2016,FLK,Siderastrea siderea,3.0,Other,,,3.692857,2.615161088907992
1377.0,24.50635,-81.70926,2016,FLK,Porifera spp,34.0,Other,,,3.692857,2.615161088907992
1377.0,24.50635,-81.70926,2016,FLK,Stephanocoenia intersepta,5.0,Other,,,3.692857,2.615161088907992
1377.0,24.50635,-81.70926,2016,FLK,Turf Algae with Sediment,6.0,Other,,,3.692857,2.615161088907992
1379.0,24.51451,-81.69662,2016,FLK,Bare Substrate,0.0,Other,,,3.8614283,2.4786304841358313
1379.0,24.51451,-81.69662,2016,FLK,Encrusting gorgonian,10.0,Other,,,3.8614283,2.4786304841358313
1379.0,24.51451,-81.69662,2016,FLK,Gorgonians,1.0,Other,,,3.8614283,2.4786304841358313
1379.0,24.51451,-81.69662,2016,FLK,MacroOtherCalcareous,1.0,Other,,,3.8614283,2.4786304841358313
1379.0,24.51451,-81.69662,2016,FLK,Montastraea cavernosa,2.0,Other,,,3.8614283,2.4786304841358313
1379.0,24.51451,-81.69662,2016,FLK,Rhodophyta cru. spp,2.0,Other,,,3.8614283,2.4786304841358313
1379.0,24.51451,-81.69662,2016,FLK,Siderastrea radians,1.0,Other,,,3.8614283,2.4786304841358313
1379.0,24.51451,-81.69662,2016,FLK,Siderastrea siderea,7.0,Other,,,3.8614283,2.4786304841358313
1379.0,24.51451,-81.69662,2016,FLK,Porifera spp,21.0,Other,,,3.8614283,2.4786304841358313
1379.0,24.51451,-81.69662,2016,FLK,Stephanocoenia intersepta,7.0,Other,,,3.8614283,2.4786304841358313
1379.0,24.51451,-81.69662,2016,FLK,Turf Algae with Sediment,14.0,Other,,,3.8614283,2.4786304841358313
1363.0,24.50924,-81.73464,2016,FLK,Bare Substrate,0.0,Other,,,3.692857,2.0053837917394097
1363.0,24.50924,-81.73464,2016,FLK,Gorgonians,10.0,Other,,,3.692857,2.0053837917394097
1363.0,24.50924,-81.73464,2016,FLK,MacroOtherFleshy,4.0,Other,,,3.692857,2.0053837917394097
1363.0,24.50924,-81.73464,2016,FLK,Other species,0.0,Other,,,3.692857,2.0053837917394097
1363.0,24.50924,-81.73464,2016,FLK,Pseudodiploria strigosa,2.0,Other,,,3.692857,2.0053837917394097
1363.0,24.50924,-81.73464,2016,FLK,Siderastrea siderea,6.0,Other,,,3.692857,2.0053837917394097
1363.0,24.50924,-81.73464,2016,FLK,Porifera spp,12.0,Other,,,3.692857,2.0053837917394097
1363.0,24.50924,-81.73464,2016,FLK,Stephanocoenia intersepta,3.0,Other,,,3.692857,2.0053837917394097
1363.0,24.50924,-81.73464,2016,FLK,Turf Algae with Sediment,10.0,Other,,,3.692857,2.0053837917394097
1477.0,24.48205,-81.66455,2016,FLK,Bare Substrate,0.0,Other,,,2.5185728,1.3162543466075483
1477.0,24.48205,-81.66455,2016,FLK,Dictyota spp,30.0,Other,,,2.5185728,1.3162543466075483
1477.0,24.48205,-81.66455,2016,FLK,Gorgonians,8.0,Other,,,2.5185728,1.3162543466075483
1477.0,24.48205,-81.66455,2016,FLK,Halimeda spp,14.0,Other,,,2.5185728,1.3162543466075483
1477.0,24.48205,-81.66455,2016,FLK,Millepora spp,1.0,Other,,,2.5185728,1.3162543466075483
1477.0,24.48205,-81.66455,2016,FLK,Rhodophyta cru. spp,3.0,Other,,,2.5185728,1.3162543466075483
1477.0,24.48205,-81.66455,2016,FLK,Siderastrea siderea,4.0,Other,,,2.5185728,1.3162543466075483
1477.0,24.48205,-81.66455,2016,FLK,Stephanocoenia intersepta,1.0,Other,,,2.5185728,1.3162543466075483
1477.0,24.48205,-81.66455,2016,FLK,Turf Algae with Sediment,17.0,Other,,,2.5185728,1.3162543466075483
1385.0,24.50928,-81.6657,2016,FLK,Bare Substrate,0.0,Other,,,3.8614283,1.9854137076671825
1385.0,24.50928,-81.6657,2016,FLK,Dichocoenia stokesii,1.0,Other,,,3.8614283,1.9854137076671825
1385.0,24.50928,-81.6657,2016,FLK,Encrusting gorgonian,2.0,Other,,,3.8614283,1.9854137076671825
1385.0,24.50928,-81.6657,2016,FLK,Gorgonians,6.0,Other,,,3.8614283,1.9854137076671825
